t_s,dt_s,yaw,yaw_unwrapped_deg,vgx,vgy,vxy,vx_world_m_s,vy_world_m_s,h,tof,h_fused,x_m,y_m,step_dist_m,dist_2d_m
24.588191032409668,0.15073180198669434,-83,-83.0,-1,0,1.0,-0.0035654332316448745,0.025879366243608,70,107,92.2,0.10126419996597757,0.13584514844642612,0.003937690290012834,0.23902930766279468
24.690501928329468,0.1023108959197998,-84,-84.0,0,0,0.0,-0.0023349247356535268,0.019453237560497428,70,99,87.4,0.10102531172436756,0.13783542660978132,0.002004563483531525,0.2410338711463262
24.794505834579468,0.10400390625,-84,-84.0,0,0,0.0,-0.0017511935517401452,0.014589928170373074,70,102,89.19999999999999,0.10084318075438677,0.13935283613140703,0.0015283008036857547,0.24256217195001198
24.904649019241333,0.11014318466186523,-84,-84.0,0,0,0.0,-0.0013133951638051088,0.010942446127779806,70,112,95.2,0.10069851922832578,0.14055807199591158,0.001213886504666048,0.24377605845467804
25.009459972381592,0.10481095314025879,-84,-84.0,0,0,0.0,-0.0009850463728538316,0.008206834595834853,70,112,95.2,0.10059527557909961,0.14141823815216548,0.0008663400414791796,0.2446423984961572
25.11190414428711,0.10244417190551758,-84,-84.0,0,0,0.0,-0.0007387847796403737,0.00615512594687614,70,112,95.2,0.10051959138413295,0.14204879493276737,0.0006350826331516021,0.2452774811293088
25.217407941818237,0.10550379753112793,-84,-84.0,1,0,1.0,-0.00029276742656114663,0.0021300397217364213,60,157,118.2,0.10048870330883734,0.14227352221230272,0.0002268400832366764,0.24550432121254548
25.318784952163696,0.10137701034545898,-84,-84.0,1,0,1.0,4.1745588248273674e-05,-0.0008887749471183674,60,169,125.39999999999999,0.10049293535176906,0.14218342086529392,9.020068137312913e-05,0.24559452189391862
25.424222946166992,0.1054379940032959,-84,-84.0,1,0,1.0,0.0002926303493553388,-0.003152885948759459,60,170,126.0,0.10052378970878957,0.14185098689553555,0.0003338627496389225,0.24592838464355754
25.529442071914673,0.10521912574768066,-84,-84.0,1,0,1.0,0.0004807939201856378,-0.004850969199990277,60,170,126.0,0.10057437842473631,0.14134057215728366,0.0005129156102185794,0.2464413002537761
25.632317781448364,0.1028757095336914,-84,-84.0,1,0,1.0,0.0006219165983083619,-0.006124531638413391,60,170,126.0,0.10063835853605806,0.14071050661942033,0.0006333056423621516,0.24707460589613828
25.73525905609131,0.10294127464294434,-84,-84.0,0,0,0.0,0.0004664374487312714,-0.004593398728810043,60,170,126.0,0.10068637420157166,0.14023765629933335,0.000475281947207212,0.2475498878433455
25.84058904647827,0.10532999038696289,-84,-84.0,0,0,0.0,0.0003498280865484535,-0.003445049046607532,60,170,126.0,0.10072322159056489,0.13987478931637157,0.000364733022085208,0.2479146208654307
25.944465160369873,0.10387611389160156,-84,-84.0,0,0,0.0,0.0002623710649113402,-0.0025837867849556493,60,171,126.6,0.10075047567718548,0.1396063955860259,0.000269773941896518,0.2481843948073272
26.044668197631836,0.10020303726196289,-84,-84.0,0,0,0.0,0.00019677829868350514,-0.0019378400887167368,60,171,126.6,0.10077019346038081,0.13941221812340848,0.00019517601789839121,0.2483795708252256
26.146878957748413,0.10221076011657715,-84,-84.0,0,0,0.0,0.00014758372401262883,-0.0014533800665375526,60,171,126.6,0.10078527810499298,0.1392636670420694,0.00014931500349960386,0.2485288858287252
26.25235915184021,0.10548019409179688,-84,-84.0,0,0,0.0,0.00011068779300947163,-0.0010900350499031645,60,173,127.8,0.10079695347488321,0.13914868993343876,0.00011556837703774073,0.24864445420576295
26.35778498649597,0.10542583465576172,-84,-84.0,0,0,0.0,8.301584475710372e-05,-0.0008175262874273734,60,172,127.2,0.10080570548960638,0.1390625015422337,8.663161397683035e-05,0.24873108581973977
26.46048092842102,0.10269594192504883,-84,-84.0,0,0,0.0,6.22618835678278e-05,-0.0006131447155705301,60,172,127.2,0.1008120995323854,0.1389995340681318,6.329128358495471e-05,0.24879437710332472
26.56387186050415,0.10339093208312988,-84,-84.0,0,0,0.0,4.669641267587084e-05,-0.00045985853667789744,60,172,127.2,0.1008169275180169,0.1389519888653983,4.7789703370377756e-05,0.2488421668066951
26.666683197021484,0.10281133651733398,-84,-84.0,0,0,0.0,3.502230950690312e-05,-0.000344893902508423,60,172,127.2,0.10082052820846522,0.13891652986232475,3.564135057312131e-05,0.24887780815726823
26.7675359249115,0.10085272789001465,-84,-84.0,0,0,0.0,2.6266732130177344e-05,-0.0002586704268813173,60,172,127.2,0.10082317728005331,0.1388904422441493,2.622177344016132e-05,0.2489040299307084
26.86849308013916,0.10095715522766113,-84,-84.0,0,0,0.0,1.9700049097633007e-05,-0.00019400282016098796,60,171,126.6,0.10082516614096805,0.1388708562713197,1.9686693460809945e-05,0.2489237166241692
26.973683834075928,0.10519075393676758,-84,-84.0,0,0,0.0,1.4775036823224755e-05,-0.00014550211512074097,60,171,126.6,0.10082672033823092,0.13885555079413076,1.5384185422480373e-05,0.2489391008095917
27.078465938568115,0.1047821044921875,-84,-84.0,0,0,0.0,1.1081277617418565e-05,-0.00010912658634055572,60,171,126.6,0.10082788145782014,0.13884411628075793,1.1493315221182793e-05,0.24895059412481288
27.182053089141846,0.10358715057373047,-84,-84.0,0,0,0.0,8.310958213063925e-06,-8.184493975541679e-05,60,171,126.6,0.10082874236629996,0.13883563819665978,8.521682544299188e-06,0.2489591158073572
27.286725997924805,0.10467290878295898,-84,-84.0,0,0,0.0,6.233218659797945e-06,-6.138370481656261e-05,60,170,126.0,0.10082939481542816,0.13882921298572476,6.458252505472696e-06,0.24896557405986267
27.39043402671814,0.10370802879333496,-84,-84.0,0,0,0.0,4.674913994848459e-06,-4.603777861242196e-05,60,170,126.0,0.10082987964154334,0.13882443849845483,4.799040013646043e-06,0.24897037309987632
27.493685960769653,0.10325193405151367,-84,-84.0,0,0,0.0,3.506185496136344e-06,-3.4528333959316465e-05,60,170,126.0,0.10083024166197696,0.13882087338119395,3.5834508337849267e-06,0.2489739565507101
27.596243143081665,0.10255718231201172,-84,-84.0,0,0,0.0,2.6296391221022577e-06,-2.589625046948735e-05,60,171,126.6,0.10083051135035583,0.13881821753471335,2.6695041393843762e-06,0.2489766260548495
27.70121192932129,0.10496878623962402,-84,-84.0,0,0,0.0,1.9722293415766935e-06,-1.9422187852115514e-05,60,171,126.6,0.100830718372876,0.1388161788112284,2.049207596112048e-06,0.2489786752624456
27.806582927703857,0.10537099838256836,-84,-84.0,0,0,0.0,1.4791720061825202e-06,-1.4566640889086634e-05,60,171,126.6,0.10083087423470706,0.13881464390973483,1.5427947061511347e-06,0.24898021805715176
27.90756916999817,0.10098624229431152,-84,-84.0,0,0,0.0,1.1093790046368904e-06,-1.0924980666814978e-05,60,171,126.6,0.10083098626672402,0.13881354063699014,1.1089463115844456e-06,0.24898132700346334
